order_date,total_orders,unique_customers,total_items_sold,gross_revenue_usd,processing_fee_revenue_usd,service_revenue_usd,gross_revenue_brl,avg_transaction_value_usd,avg_items_per_transaction,installment_transactions,avg_installments,avg_delivery_days,avg_approval_days,late_deliveries,updated_at
2016-09-04,1,1,2,42.19,19.62,22.58,136.23,42.19,2.0,0,1.0,,33.0,0,2026-02-22 13:53:53.998996-05
2016-09-15,1,1,3,43.49,2.57,40.92,143.46,43.49,3.0,0,1.0,55.0,0.0,1,2026-02-22 13:53:53.998996-05
2016-10-03,7,7,7,173.01999999999998,36.35,136.67,559.53,24.72,1.0,4,2.57,25.29,1.71,0,2026-02-22 13:53:53.998996-05
2016-10-04,58,58,67,3370.8,411.21000000000004,2959.550000000001,10900.949999999999,58.12,1.16,37,3.84,25.81,1.4,2,2026-02-22 13:53:53.998996-05
2016-10-05,42,42,52,2500.0799999999995,379.8800000000001,2120.21,8084.979999999999,59.53,1.24,22,3.64,20.23,1.19,0,2026-02-22 13:53:53.998996-05
2016-10-06,46,46,55,2265.5700000000006,318.81999999999994,1946.7500000000002,7326.680000000002,49.25,1.2,30,3.11,20.9,0.28,0,2026-02-22 13:53:53.998996-05
2016-10-07,43,43,50,2350.49,269.97999999999996,2080.49,7601.290000000002,54.66,1.16,23,3.58,16.16,0.7,0,2026-02-22 13:53:53.998996-05
2016-10-08,38,37,43,2852.94,284.26,2568.649999999999,9226.189999999997,75.08,1.13,28,4.53,14.33,1.24,0,2026-02-22 13:53:53.998996-05
2016-10-09,22,22,28,977.5799999999997,169.22000000000003,808.3699999999999,3161.5099999999993,44.44,1.27,13,4.0,14.25,1.14,0,2026-02-22 13:53:53.998996-05
2016-10-10,37,36,40,1403.0299999999997,250.03000000000003,1152.9700000000003,4493.39,37.92,1.08,18,3.11,19.18,0.59,0,2026-02-22 13:53:53.998996-05
2016-12-23,1,1,1,5.89,2.62,3.27,19.62,5.89,1.0,0,1.0,5.0,0.0,0,2026-02-22 13:53:53.998996-05
